summary,generated_response
시설 파손에 대해 수리 예정.,"""파손된 시설에 대해 수리 작업을 진행할 예정입니다."""
화명1동 가로등 고장 조치 완료.,화명1동 일대 가로등 고장에 대한 조치를 완료하였습니다.
도색 필요에 대한 조치 요청함.,도색이 필요한 경우에 대해 조치를 요청하였습니다.
보도블럭 파손에 대해 수리 예정.,보도블럭 파손 사항에 대해 수리 작업을 예정하고 있습니다.
보도블럭 파손에 대한 재도색 요청함.,보도블럭의 파손 부분에 대해 재도색을 요청하였습니다.
"전포동 가로등 상태 무단투기, 계도 중.","**공공문체:** 전포동 일대 무단 투기 쓰레기에 대해 조치를 취하고 있으며, 계도 작업을 진행 중입니다."
노상적치물에 대해 확인 예정.,**공공문체:** 노상 적치물 상황을 확인 중입니다.
부암동 불법주차 현장 확인 필요.,부암동 일대 불법 주정차 차량에 대해 현장 점검을 진행할 예정입니다.
노상적치물에 대해 정비 예정.,노상 적치물에 대한 정비를 추진할 계획입니다.
"가로등 고장 발생, 확인 처리함.","**공공문체:** 가로등 고장 현황을 확인하였으며, 처리를 완료하였습니다.  

(요구사항에 따라 추가적인 설명이나 조치 내용이 필요한 경우 해당 사항을 포함하여 수정할 수 있습니다.)"
보도블럭 파손에 대해 정비 예정.,보도블럭 파손 사항에 대하여 조치를 진행할 예정입니다.
시설 파손에 대해 조치 예정.,시설물 파손에 대한 점검 및 복구 조치를 진행할 예정입니다.
범일동 벤치 조치 완료.,범일동 일대 파손 또는 불편 사항이 있었던 벤치에 대한 조치를 완료하였습니다.
불법주차에 대해 철거 예정.,불법 주정차 차량에 대해 조치를 취하고 있습니다.
화명1동 펜스 처리 완료.,화명1동 일대 파손된 펜스에 대해 현장 점검 및 수리 조치를 완료하였습니다.
"온천동 가로등 상태 보도블럭 파손, 정비 중.","온천동 지역의 가로등 및 보도블럭 파손 사항에 대해 현장 점검을 실시하고 있으며, 필요한 정비를 진행 중입니다."
시설 파손에 대해 청소 예정.,시설물 파손 사항을 확인하여 청소 및 정비를 예정하고 있습니다.
화명1동 무단투기 수리 완료.,**화명1동 무단 투기 지역에 대한 수리 작업을 완료하였습니다.**
명륜동 보도블럭 민원 접수 완료.,명륜동 일대 보도블럭에 대한 민원 접수를 완료하였습니다.
시설 파손에 대한 청소 요청함.,"""파손된 시설에 대해 청소 및 정비를 요청하였습니다."""
사직동 불법주차 현장 확인 필요.,"**공공문체:** 사직동 일대 불법 주정차 현황을 확인하기 위한 조치를 취하였습니다.  

(또는)  
**공공문체:** 사직동에서 불법으로 주정차된 차량에 대한 현장 확인을 진행하였습니다."
횡단보도 정비 요청됨.,횡단보도 정비를 위해 필요한 조치를 요청하였습니다.
부암동 청소 미흡 현장 확인 필요.,부암동 일대 청소 상태를 확인하기 위해 현장 점검을 실시하였습니다.
무단투기에 대한 정비 요청함.,무단 투기 발생지역에 대해 정비 조치를 요청하였습니다.
계단 정비 요청됨.,계단의 정비를 요청하였습니다.
대연동 불법주차 현장 확인 필요.,**답변:** 대연동 일대의 불법 주정차 차량에 대해 현장 확인을 진행하였습니다.
가로등 고장에 대한 재도색 요청함.,가로등의 고장 부분에 대한 재도색을 요청하였습니다.
대연동 시설 파손 관련 처리 실시함.,"""대연동 일대 시설물 파손 사항에 대해 조치를 실시하였습니다."""
"부암동 계단 상태 불법주차, 민원 접수 중.",부암동 일대 계단 주변 불법 주정차에 대해 현장 점검을 완료하였습니다.
펜스 재도색 요청됨.,공원 또는 시설물의 펜스에 대한 재도색을 요청하였습니다.
"가로등 고장 발생, 재도색 처리함.",가로등 불량 현상이 발생하여 해당 가로등에 대한 재도색 작업을 완료하였습니다.
시설 파손에 대해 조치 예정.,"""파손된 시설에 대해 신속한 복구 및 보수 조치를 진행할 예정입니다.""  

(또는)  
""파손된 시설에 대한 수리 및 정비 작업을 계획하고 있습니다."""
가림막 확인 요청됨.,가림막 상태를 점검하기 위해 현장 확인을 요청하였습니다.
화명1동 도색 필요 계도 완료.,화명1동 일대의 도색이 필요한 건물에 대해 현장 계도 조치를 완료하였습니다.
명륜동 불법주차 조치 필요.,명륜동 일대 불법 주정차 차량에 대해 조치가 필요합니다.
펜스 확인 요청됨.,"**공공문체:** 펜스 상태에 대한 현장 확인을 요청하였습니다.  

(또는)  
**공공문체:** 펜스 관련 사항에 대해 현장 점검을 요청하였습니다."
"연산동 신호등 상태 청소 미흡, 수리 중.",**공공문체:** 연산동 신호등의 청소 상태가 미흡하여 수리를 진행하고 있습니다.
"범일동 보도블럭 상태 쓰레기 방치, 재도색 중.",범일동 일대 보도블럭의 쓰레기 방치 현황에 대해 조치를 취하고 있습니다. 현재 재도색 작업을 진행 중입니다.
연산동 쓰레기 방치 조치 필요.,연산동 일대 쓰레기 방치 현황에 대해 조치를 취할 수 있도록 검토 중입니다.
"보도블럭 파손 발생, 수리 처리함.",보도블록 파손 사항을 확인하여 수리 조치를 완료하였습니다.
불법주차에 대해 철거 예정.,불법 주정차 차량에 대한 철거 절차를 진행할 예정입니다.
노상적치물에 대해 확인 예정.,"노상 적치물에 대한 현황을 확인 중입니다.  

(또는)  
노상 적치물 관련 사항을 조사하여 처리할 예정입니다."
가로등 고장에 대한 민원 접수 요청함.,가로등 고장에 대한 민원 접수를 요청하였습니다.
연산동 불법주차 관련 조치 실시함.,연산동 일대 불법 주정차 차량에 대해 현장에서 조치를 실시하였습니다.
"전포동 보도블럭 상태 무단투기, 민원 접수 중.",전포동 보도블럭에 대한 무단 투기 문제를 확인하여 민원 접수 절차를 진행하였습니다.
화명1동 무단투기 처리 완료.,화명1동 일대 무단 투기 현장에 대해 조치를 완료하였습니다.
사직동 노상적치물 조치 필요.,"**공공문체:** 사직동 일대 노상 적치물에 대해 현장 점검을 실시하였으며, 관리 책임자와 협의하여 조치를 완료하였습니다."
온천동 도색 필요 조치 필요.,온천동 일대의 건축물 도색이 필요한 사항에 대해 조치를 취해 드리겠습니다.
화명1동 쓰레기 방치 민원 접수 완료.,**공공문체:** 화명1동 일대 쓰레기 방치 민원을 접수하였습니다.
도로표지판 확인 요청됨.,도로 표지판에 대한 현장 확인을 요청하였습니다.
수정동 보도블럭 파손 조치 필요.,"보도블럭이 파손되어 안전사고 우려가 있으므로, 현장 점검 후 필요한 조치를 시행하였습니다."
사직동 불법주차 조치 필요.,**공공문체:** 사직동 일대 불법 주정차 차량에 대해 조치를 실시하였습니다.
화명1동 보도블럭 파손 수리 완료.,화명1동 일대 보도블럭 파손에 대해 현장 수리를 완료하였습니다.
대연동 불법주차 조치 필요.,"**답변:** 대연동 일대 불법 주정차 차량에 대해 현장 점검을 실시하였으며, 관련 조치를 완료하였습니다."
노상적치물에 대한 확인 요청함.,- 공공문체: 노상 적치물에 대해 현장 확인을 요청하였습니다.
명륜동 무단투기 관련 재도색 실시함.,명륜동 무단 투기 지역의 환경 오염 문제에 대해 재도색 작업을 실시하였습니다.
가림막 민원 접수 요청됨.,가림막 설치 관련 민원을 접수하였습니다.
청소 미흡에 대한 계도 요청함.,"""청소가 미흡한 사항에 대해 계도 조치를 요청하였습니다."""
연산동 무단투기 현장 확인 필요.,연산동 일대 무단 투기 현장에 대한 확인을 요청하였습니다.
CCTV 처리 요청됨.,CCTV 관련 처리 요청을 접수하였습니다.
온천동 무단투기 조치 필요.,온천동 일대 무단 투기 행위에 대해 조치를 취하겠습니다.
가림막 청소 요청됨.,**공공문체:** 가림막을 청소하도록 요청하였습니다.
명륜동 소음 민원 현장 확인 필요.,명륜동에서 제기된 소음 관련 민원에 대하여 현장 점검을 실시하였습니다.
화명1동 청소 미흡 관련 계도 실시함.,**공공문체:** 화명1동 일대 청소 미흡 사항에 대해 현장 계도 조치를 실시하였습니다.
소음 민원에 대한 재도색 요청함.,소음 민원과 관련하여 해당 지역의 재도색을 요청하였습니다.
연산동 보도블럭 파손 현장 확인 필요.,연산동 보도블럭 파손 현장에 대한 확인을 요청하였습니다.
온천동 횡단보도 처리 완료.,온천동 일대 횡단보도에 대한 조치를 완료하였습니다.
"불법주차 발생, 재도색 처리함.",불법 주정차 차량에 대한 재도색 조치를 완료하였습니다.
화명1동 청소 미흡 재도색 완료.,화명1동 일대 청소 미흡 지역에 대한 재도색 작업을 완료하였습니다.
명륜동 도로표지판 계도 완료.,명륜동 도로 표지판에 대한 현장 계도 조치를 완료하였습니다.
부암동 보도블럭 조치 완료.,부암동 일대 보도블럭에 대한 조치를 완료하였습니다.
명륜동 쓰레기 방치 현장 확인 필요.,명륜동 일대 쓰레기 방치 현황을 확인하기 위해 조치를 취하였습니다.
청소 미흡에 대한 처리 요청함.,"**공공문체:** 청소 미흡 사항에 대해 조치를 요청하였습니다.  

(또는)  
**공공문체:** 청소 상태가 불량한 점을 확인하였으며, 해당 사항에 대한 처리를 요청하였습니다.  

- 필요시 추가 설명이나 구체적인 내용이 포함되어야 하는 경우 아래와 같이 수정할 수 있습니다.  
  **공공문체:** 해당 장소의 청소 미흡 사항으로 인해 불편을 끼쳐 죄송합니다. 조치를 요청하였습니다.  

(예시에 따라 적절한 표현으로 대체 가능)"
노상적치물에 대해 수리 예정.,노상에 적치된 물품에 대한 수리 작업을 예정하고 있습니다.
"범일동 횡단보도 상태 노상적치물, 조치 중.",범일동 일대 횡단보도의 노상 적치물에 대해 조치를 진행 중입니다.
화명1동 보도블럭 청소 완료.,"**답변 요약:** 화명1동 보도블럭 청소 완료.  

**공공문체:** 화명1동 일대 보도블럭에 대한 청소 작업을 완료하였습니다."
CCTV 확인 요청됨.,"CCTV 관련 확인을 요청하였습니다.  

(또는)  
CCTV 현황에 대한 확인을 요청하였습니다.  

(또는)  
CCTV 영상 확인을 위하여 요청하였습니다.  

※ 선택 사항에 따라 ""확인을 위해"" 또는 ""요청을 통해"" 등의 표현도 가능합니다."
화명1동 보도블럭 파손 조치 완료.,**공공문체:** 화명1동 일대 보도블럭 파손에 대해 조치를 완료하였습니다.
화명1동 무단투기 재도색 완료.,화명1동 일대 무단 투기된 표지판에 대해 재도색을 완료하였습니다.
노상적치물에 대해 민원 접수 예정.,노상 적치물 관련 민원 접수를 진행할 예정입니다.
명륜동 무단투기 조치 필요.,명륜동 일대 무단 투기 현상에 대해 조치를 취할 필요가 있음을 확인하였습니다.
명륜동 가로등 고장 관련 철거 실시함.,명륜동 일대 가로등 고장에 대한 현장 조사 및 철거 업무를 완료하였습니다.
보도블럭 파손에 대한 확인 요청함.,보도블럭의 파손 사항에 대해 확인을 요청하였습니다.
횡단보도 처리 요청됨.,횡단보도 관련 처리를 요청하였습니다.
명륜동 계단 철거 완료.,명륜동 일대 계단에 대한 철거 작업을 완료하였습니다.
명륜동 보도블럭 파손 현장 확인 필요.,명륜동 일대 보도블럭 파손 현장을 확인할 필요가 있습니다.
"노상적치물 발생, 처리 처리함.","- 공공문체: 노상에 적치된 물품에 대해 현장 확인을 완료하였으며, 관련 조치를 실시하였습니다.  

(해설: ""처리 처리함""을 정리하여 명확한 진행 상황을 전달하고, 부정적인 표현을 피하는 공식적 문체로 수정)"
노상적치물에 대한 재도색 요청함.,노상 적치물에 대한 재도색을 요청하였습니다.
화명1동 청소 미흡 처리 완료.,화명1동 일대 청소 미흡 사항에 대해 조치를 완료하였습니다.
보도블럭 파손에 대한 확인 요청함.,보도블럭 파손 현황을 확인하여 안내 드리겠습니다.
화명1동 소음 민원 조치 완료.,화명1동 일대의 소음 관련 민원에 대해 조치를 완료하였습니다.
화명1동 가로등 고장 정비 완료.,화명1동 일대 고장한 가로등에 대해 정비를 완료하였습니다.
범일동 무단투기 현장 확인 필요.,범일동 무단 투기 현장에 대해 즉시 현장 확인을 진행할 예정입니다.
온천동 펜스 재도색 완료.,온천동 일대 펜스에 대한 재도색 작업을 완료하였습니다.
청소 미흡에 대한 확인 요청함.,"화명1동 일대 청소 미흡 사항에 대하여 현장 점검을 실시하였으며, 필요한 조치를 취할 예정입니다."
온천동 벤치 조치 완료.,온천동 일대 파손된 벤치에 대해 조치를 완료하였습니다.
화명1동 도색 필요 처리 완료.,화명1동 일대의 도색이 필요한 부위에 대한 처리를 완료하였습니다.
청소 미흡에 대한 계도 요청함.,**공공문체:** 청소 미흡한 지역에 대해 계도 조치를 요청하였습니다.
"전포동 도로표지판 상태 무단투기, 조치 중.","**답변 요약:** 전포동 도로 표지판에 무단 투기가 발생하였습니다. 관련 조치를 진행 중입니다.  

(공공기관 회신 문체 적용)  
**공공문체:** 전포동 도로표지판 일부에 무단 투기 현상이 발견되어 관련 조치를 진행하고 있습니다."
"명륜동 CCTV 상태 노상적치물, 계도 중.","명륜동 일대 CCTV 및 노상 적치물 관련 현장 점검을 실시하였으며, 필요한 경우 계도 조치를 진행하였습니다."
쓰레기 방치에 대해 철거 예정.,"**공공문체:**  
쓰레기 무단 방치 현황에 대해 철거를 예정하고 있습니다."
대연동 무단투기 관련 수리 실시함.,"**공공문체:** 대연동 일대 무단 투기 문제에 대해 현장 점검을 실시하였습니다.  

(또는)  
**공공문체:** 대연동에서 발생한 무단 투기 현상에 대한 조치를 완료하였습니다.  

해당 형식으로 공공기관의 공식적인 회신 문체로 자연스럽게 변환되었습니다. 필요에 따라 ""수리""를 ""조치/점검""으로 구분하여 표현할 수 있습니다."
도로표지판 청소 요청됨.,도로표지판에 대한 청소를 요청하였습니다.
CCTV 철거 요청됨.,**공공문체:** CCTV 설치 장소에 대한 철거 요청을 접수하였습니다.
보도블럭 파손에 대해 민원 접수 예정.,보도블럭 파손 사항에 대해 민원 접수를 진행할 예정입니다.
부암동 불법주차 관련 수리 실시함.,부암동 일대 불법 주정차 차량에 대해 현장 조치를 완료하였습니다.
"무단투기 발생, 재도색 처리함.",무단 투기로 인한 벽면 오염이 발생하여 재도색 작업을 완료하였습니다.
명륜동 무단투기 조치 필요.,명륜동 일대 무단 투기 행위에 대해 조치를 취할 계획입니다.
범일동 쓰레기 방치 조치 필요.,범일동 일대 쓰레기 방치 현황에 대해 조치를 취할 예정입니다.
명륜동 쓰레기 방치 현장 확인 필요.,명륜동 일대 쓰레기 방치 현장에 대한 확인을 요청할 예정입니다.
화명1동 가로등 고장 관련 철거 실시함.,**공공문체:** 화명1동 일대 고장 발생한 가로등에 대해 철거 및 복구 작업을 완료하였습니다.
"쓰레기 방치 발생, 민원 접수 처리함.",**공공문체:** 쓰레기 방치 현상이 발생하여 민원 접수 처리를 완료하였습니다.
범일동 계단 계도 완료.,"**공공문체:**  
범일동 일대 계단에 대한 불법 주정차 차량에 대해 현장 계도 조치를 완료하였습니다."
화명1동 소음 민원 조치 완료.,화명1동에서 신고된 소음 민원에 대해 조치를 완료하였습니다.
화명1동 청소 미흡 조치 완료.,화명1동 일대의 청소 미흡 사항에 대해 조치를 완료하였습니다.
화명1동 무단투기 확인 완료.,화명1동 일대 무단 투기 현황을 확인하였습니다.
전포동 도색 필요 관련 계도 실시함.,전포동 일대 도색이 필요한 건물에 대해 계도 조치를 실시하였습니다.
명륜동 보도블럭 파손 현장 확인 필요.,명륜동 보도블럭 파손 현장에 대한 확인을 요청하였습니다.
대연동 보도블럭 파손 현장 확인 필요.,대연동 일대 보도블럭 파손 현장에 대한 점검을 실시하겠습니다.
CCTV 계도 요청됨.,CCTV 설치 또는 운영에 대한 계도 조치를 요청하였습니다.
"전포동 가림막 상태 무단투기, 확인 중.",**공공문체:** 전포동 일대 가림막의 무단 투기 현황에 대해 조사 중입니다.
"온천동 보도블럭 상태 무단투기, 민원 접수 중.",온천동 보도블럭에 대한 무단 투기 사항이 접수되어 조치를 진행하고 있습니다.
보도블럭 파손에 대한 조치 요청함.,보도블럭 파손 사항에 대해 조치를 요청하였습니다.
사직동 노상적치물 관련 철거 실시함.,사직동 일대 노상 적치물에 대해 철거 조치를 완료하였습니다.
연산동 불법주차 현장 확인 필요.,연산동 일대 불법 주정차 차량에 대해 현장 확인을 요청하였습니다.
청소 미흡에 대한 조치 요청함.,**공공문체:** 청소 미흡 사항에 대해 조치를 요청하였습니다.
대연동 보도블럭 파손 관련 민원 접수 실시함.,- 공공문체: 대연동 일대 보도블럭 파손 사항에 대해 민원 접수를 실시하였습니다.
소음 민원에 대해 처리 예정.,소음 민원에 대한 조치를 진행할 예정입니다.
가림막 청소 요청됨.,가림막에 대한 청소를 요청하였습니다.
대연동 시설 파손 조치 필요.,**답변:** 대연동 내 파손된 시설에 대해 조치를 취할 필요성이 확인되었습니다. 관련 절차를 진행중입니다.
계단 조치 요청됨.,계단에 대한 조치를 요청하였습니다.
전포동 시설 파손 조치 필요.,전포동 내 파손된 시설에 대해 즉시 점검하여 필요한 조치를 취하겠습니다.
화명1동 노상적치물 민원 접수 완료.,화명1동 일대 노상 적치물에 대한 민원 접수를 완료하였습니다.
도색 필요에 대해 계도 예정.,도색이 필요한 부분에 대해 계도 조치를 예정하고 있습니다.
화명1동 도색 필요 처리 완료.,화명1동 일대의 도색이 필요한 부분에 대해 정비를 완료하였습니다.
화명1동 노상적치물 조치 필요.,화명1동 일대 노상 적치물에 대해 조치를 필요로 하였습니다.
대연동 가로등 고장 현장 확인 필요.,대연동 일대 가로등의 고장 사항을 확인하였습니다.
수정동 보도블럭 파손 조치 필요.,"**공공문체:**  
수정동 일대 보도블럭 파손에 대해 수리 및 복구 작업을 신속히 진행할 예정입니다."
화명1동 쓰레기 방치 민원 접수 완료.,화명1동 일대에서 발생한 쓰레기 방치 민원을 접수하였습니다.
부암동 쓰레기 방치 현장 확인 필요.,**공공문체:** 부암동에서 쓰레기 방치가 확인된 현장에 대해 조사 및 처리를 진행할 예정입니다.
화명1동 가로등 고장 관련 확인 실시함.,화명1동 일대 가로등 고장 현황을 확인하였습니다.
부암동 노상적치물 조치 필요.,부암동 일대 노상 적치물에 대해 조치를 취할 예정입니다.
명륜동 무단투기 관련 정비 실시함.,명륜동 일대 무단 투기 현장에 대한 정비 조치를 완료하였습니다.
"무단투기 발생, 청소 처리함.",무단 투기 쓰레기에 대해 현장에서 청소 및 처리를 완료하였습니다.
소음 민원에 대해 수리 예정.,소음 민원이 발생한 사례에 대해 수리 및 정비 조치를 예정하고 있습니다.
횡단보도 청소 요청됨.,횡단보도에 대한 청소 요청을 접수하여 조치하였습니다.
수정동 시설 파손 조치 필요.,수정동 내 파손된 시설에 대해 조치를 필요로 합니다.
횡단보도 정비 요청됨.,횡단보도의 정비를 위해 관련 절차를 진행하였습니다.
벤치 재도색 요청됨.,**공공문체:** 공원 내 파손 또는 색상 변색된 벤치에 대해 재도색을 요청하였습니다.
명륜동 횡단보도 민원 접수 완료.,명륜동 일대 횡단보도에 대한 민원 접수를 완료하였습니다.
화명1동 가로등 고장 관련 조치 실시함.,화명1동 일대 가로등 고장 현황에 대해 조치를 시행하였습니다.
쓰레기 방치에 대한 청소 요청함.,쓰레기 방치 현장에 대해 즉시 청소를 요청하였습니다.
청소 미흡에 대한 민원 접수 요청함.,"""청소 미흡한 사항에 대해 민원 접수를 요청하였습니다."""
부암동 쓰레기 방치 관련 계도 실시함.,**답변:** 부암동 일대 쓰레기 방치 현황에 대해 계도 조치를 실시하였습니다.
범일동 소음 민원 현장 확인 필요.,범일동 일대 소음 관련 민원에 대해 현장 확인을 진행할 예정입니다.
"사직동 도로표지판 상태 쓰레기 방치, 재도색 중.",**공공문체:** 사직동 도로표지판에 쓰레기로 인한 상태 저하가 확인되어 재도색을 진행하고 있습니다.
명륜동 도색 필요 조치 필요.,"명륜동 일대 도색이 필요하다는 민원을 접수하여 현장 점검을 실시하였으며, 필요한 조치를 취할 예정입니다."
화명1동 가로등 확인 완료.,화명1동 일대 가로등에 대한 현장 확인을 완료하였습니다.
"온천동 보도블럭 상태 쓰레기 방치, 수리 중.",온천동 일대 보도블럭 내 쓰레기 방치 문제가 확인되어 수리 작업을 진행 중입니다.
횡단보도 청소 요청됨.,횡단보도에 대한 청소 요청을 접수하였습니다.
명륜동 CCTV 조치 완료.,명륜동 일대의 CCTV에 대한 조치를 완료하였습니다.
전포동 노상적치물 현장 확인 필요.,"전포동 노상 적치물에 대해 현장 확인을 요청하였습니다.  

(또는)  
전포동 노상 적치물에 대한 현장 확인 절차를 진행하였습니다."
대연동 CCTV 조치 완료.,대연동 일대 CCTV에 대한 조치를 완료하였습니다.
부암동 도색 필요 조치 필요.,부암동 일대의 도색이 필요한 사항에 대하여 조치를 시행하였습니다.
명륜동 청소 미흡 현장 확인 필요.,명륜동 일대 청소 상태가 미흡하다는 민원을 접수하여 현장 점검을 실시하였습니다.
화명1동 불법주차 조치 완료.,화명1동 일대 불법 주정차 차량에 대해 현장 조치를 완료하였습니다.
화명1동 청소 미흡 처리 완료.,화명1동 일대의 청소 미흡 사항에 대해 조치를 완료하였습니다.
"보도블럭 파손 발생, 재도색 처리함.","보도블럭 파손이 발생하였으나, 해당 부위에 대한 재도색 작업을 완료하였습니다."
"전포동 펜스 상태 쓰레기 방치, 확인 중.",전포동 일대 펜스 내부에서 쓰레기 방치 현상이 발견되어 조사 중입니다.
청소 미흡에 대해 계도 예정.,"""청소 미흡한 사항에 대해 계도 조치를 예정하고 있습니다."""
청소 미흡에 대해 재도색 예정.,"""청소 미흡한 부분에 대해 재도색을 실시할 예정입니다."""
불법주차에 대한 철거 요청함.,불법 주정차 차량에 대해 철거 조치를 요청하였습니다.
전포동 가림막 확인 완료.,"전포동 일대의 가림막 상태를 현장 확인하였으며, 결과를 보고하였습니다."
"수정동 도로표지판 상태 쓰레기 방치, 처리 중.","도로표지판 주변에 쓰레기가 방치되어 있는 것으로 확인되었으며, 해당 사항을 처리 중입니다."
"불법주차 발생, 조치 처리함.","불법 주정차 차량이 발생하였으나, 현장에서 즉시 조치를 취하여 처리하였습니다."
"소음 민원 발생, 청소 처리함.",소음 민원이 발생한 사례에 대해 현장 조사 후 청소 및 정화 작업을 완료하였습니다.
"연산동 횡단보도 상태 보도블럭 파손, 정비 중.",연산동 일대의 횡단보도 내 보도블럭이 파손되어 정비 중입니다.
화명1동 보도블럭 파손 현장 확인 필요.,화명1동 일대 보도블럭의 파손 사항을 확인할 수 있는 현장에 대해 조치를 진행하였습니다.
대연동 무단투기 조치 필요.,대연동 일대 무단 투기 현장에 대한 조치를 추진할 예정입니다.
화명1동 소음 민원 재도색 완료.,화명1동 소음 관련 민원으로 인한 재도색 작업을 완료하였습니다.
화명1동 쓰레기 방치 철거 완료.,화명1동 일대 쓰레기 방치 현장에 대해 철거 조치를 완료하였습니다.
부암동 노상적치물 조치 필요.,"부암동 일대 노상 적치물에 대해 현장 점검을 실시하였으며, 필요한 조치를 완료하였습니다."
가로등 고장에 대해 철거 예정.,가로등 고장에 대한 철거 작업을 예정하고 있습니다.
청소 미흡에 대해 청소 예정.,화명1동 일대 쓰레기 및 환경 정비에 대한 조치를 진행중입니다.
사직동 시설 파손 관련 청소 실시함.,사직동 일대의 파손된 시설에 대해 현장 청소 및 정비를 완료하였습니다.
"도색 필요 발생, 재도색 처리함.",도색이 필요한 부분에 대해 재도색 작업을 완료하였습니다.
가로등 수리 요청됨.,가로등 수리 요청을 접수하였습니다.
화명1동 도색 필요 민원 접수 완료.,화명1동 일대의 도색이 필요한 민원을 접수하였습니다.
"도색 필요 발생, 청소 처리함.",도색이 필요한 부분에 대해 청소 및 정비를 완료하였습니다.
연산동 보도블럭 파손 관련 재도색 실시함.,연산동 보도블럭의 파손 부위에 대해 재도색을 완료하였습니다.
화명1동 보도블럭 파손 확인 완료.,화명1동 일대 보도블럭의 파손 상황을 현장 점검하여 확인하였습니다.
사직동 쓰레기 방치 현장 확인 필요.,**공공문체:** 사직동 일대 쓰레기 방치 현장을 확인하기 위해 조치를 취하였습니다.
쓰레기 방치에 대해 청소 예정.,- 공공문체: 쓰레기 방치 현황에 대해 청소 조치를 예정하였습니다.
시설 파손에 대한 확인 요청함.,시설물 파손 상황을 확인하기 위해 조사 및 처리 절차를 진행하였습니다.
"연산동 보도블럭 상태 불법주차, 재도색 중.",연산동 일대 보도블럭의 상태 및 불법 주정차 현황에 대해 재도색 공사를 진행 중입니다.
"부암동 계단 상태 소음 민원, 청소 중.","부암동 일대 계단의 소음 관련 민원을 접수하였으며, 현장 점검 및 청소 작업을 진행 중입니다."
전포동 불법주차 관련 처리 실시함.,전포동 일대 불법 주정차 차량에 대해 현장 점검 및 조치를 완료하였습니다.
화명1동 노상적치물 재도색 완료.,**화명1동 노상 적치물에 대한 재도색을 완료하였습니다.**
명륜동 보도블럭 처리 완료.,명륜동 일대 보도블럭에 대한 현장 점검 및 정비를 완료하였습니다.
가로등 고장에 대해 재도색 예정.,가로등 점멸 현상으로 인한 고장에 대해 재도색 작업을 예정하고 있습니다.
시설 파손에 대한 청소 요청함.,시설물 파손에 따른 청소 업무를 요청하였습니다.
연산동 벤치 조치 완료.,연산동 일대 파손된 벤치에 대해 현장 점검 및 수리 조치를 완료하였습니다.
화명1동 도색 필요 계도 완료.,화명1동 일대 도색이 필요한 건물에 대해 현장 계도 조치를 완료하였습니다.
청소 미흡에 대해 확인 예정.,**공공문체:** 청소 미흡 사항에 대해 조사 및 확인을 진행할 예정입니다.
"쓰레기 방치 발생, 계도 처리함.",- 공공문체: 해당 지역에서 발생한 쓰레기 방치에 대해 현장 계도 조치를 완료하였습니다.
화명1동 가로등 고장 청소 완료.,화명1동 일대의 가로등 고장에 대한 청소 작업을 완료하였습니다.
"온천동 신호등 상태 노상적치물, 확인 중.",온천동 신호등 및 노상 적치물 현황을 조사 중입니다.
무단투기에 대해 계도 예정.,무단 투기 현장에 대해 계도 조치를 준비하고 있습니다.
사직동 쓰레기 방치 조치 필요.,"**공공문체:**  
사직동 일대 쓰레기 방치 현황에 대해 조치를 취할 예정입니다."
가로등 수리 요청됨.,"가로등에 대한 수리 신고를 접수하였으며, 관련 점검 및 복구 작업을 진행 중입니다."
대연동 보도블럭 파손 현장 확인 필요.,**답변:** 대연동 보도블럭 파손 현장에 대해 즉시 확인 조치를 취하였습니다.
"무단투기 발생, 철거 처리함.",무단 투기된 쓰레기에 대해 현장에서 철거 및 처리 조치를 완료하였습니다.
"부암동 도로표지판 상태 청소 미흡, 철거 중.",부암동 도로 표지판의 청소 상태가 미흡하여 철거 조치를 진행 중입니다.
"시설 파손 발생, 청소 처리함.",시설물 파손이 발생하여 청소 및 복구 작업을 완료하였습니다.
"쓰레기 방치 발생, 철거 처리함.",**공공문체:** 쓰레기 방치 현상이 발생하여 철거 처리를 완료하였습니다.
"시설 파손 발생, 재도색 처리함.",공원 내 파손된 시설에 대해 재도색 작업을 완료하였습니다.
신호등 민원 접수 요청됨.,신호등 관련 민원 접수를 요청하였습니다.
온천동 불법주차 현장 확인 필요.,온천동 일대의 불법 주정차 현황을 확인할 필요가 있습니다.
벤치 조치 요청됨.,공원 내 파손된 벤치에 대해 조치를 요청하였습니다.
청소 미흡에 대한 수리 요청함.,"""청소가 미흡한 부분에 대해서 수리 요청을 처리하였습니다."""
범일동 무단투기 현장 확인 필요.,범일동 일대 무단 투기 현장에 대한 추가 확인이 필요합니다.
범일동 소음 민원 조치 필요.,범일동에서 발생한 소음 민원에 대해 조치가 필요합니다.
사직동 가로등 고장 관련 민원 접수 실시함.,**공공문체:** 사직동 일대 가로등 고장에 대한 민원 접수를 실시하였습니다.
온천동 쓰레기 방치 조치 필요.,온천동 일대 쓰레기 무단 방치에 대해 조치를 취하겠습니다.
"온천동 신호등 상태 쓰레기 방치, 계도 중.","온천동 신호등 부근에서 발견된 쓰레기 문제에 대해 현장 조사 후 계도 조치를 취하고 있습니다.  

(또는)  
온천동 신호등 주변에서 발생한 쓰레기 방치 사태에 대해 즉시 현장 점검을 실시하였으며, 해당사항에 대한 계도 작업을 완료하였습니다."
화명1동 노상적치물 민원 접수 완료.,**공공문체:** 화명1동 일대 노상 적치물에 대한 민원 접수를 완료하였습니다.
